variable_name,description,data_type,min,max,units,enumerations,comment
Sample_id,Autocreated FK slot,string,,,,,Foreign Key: Sample.id
processing,Processing that was applied to the Parent Sample or from the Biospecimen Collection that yielded this distinct sample,string,,,,,
