variable_name,description,data_type,min,max,units,enumerations,comment
Demographics_id,Autocreated FK slot,string,,,,,Foreign Key: Demographics.id
source_data_id,The sources from which this assertion was derived,string,,,,,Foreign Key: SourceData.id
