variable_name,description,data_type,min,max,units,enumerations,comment
StudyMetadata_study_id,Autocreated FK slot,string,,,,,Foreign Key: StudyMetadata.study_id
research_domain_concept_curie,Main research domain(s) of the study,string,,,,,Foreign Key: Concept.concept_curie
