variable_name,description,data_type,min,max,units,enumerations,comment
Family_id,Autocreated FK slot,string,,,,,Foreign Key: Family.id
family_relationships_id,Family relationships associated with this family.,string,,,,,Foreign Key: FamilyRelationship.id
