variable_name,description,data_type,min,max,units,enumerations,comment
StudyMetadata_study_id,Autocreated FK slot,string,,,,,Foreign Key: StudyMetadata.study_id
participant_lifespan_stage,Focus age group(s) of the study population,enumeration,,,,,Stages of life during which participants may be recruited. From NICHD Pediatric Terminology. https://evs.nci.nih.gov/ftp1/Pediatric_Terminologies/NICHD/About.html
