variable_name,description,data_type,min,max,units,enumerations,comment
AccessPolicy_id,Autocreated FK slot,string,,,,,Foreign Key: AccessPolicy.id
data_access_type,Data Access Type,enumeration,,,,open=Open Access;registered=Registered Access;controlled=Controlled;gsr_restricted=GSR Restricted;gsr_allowed=GSR Allowed,
