local_code,text,table_name,parent_varname,local_code_system,code,display,code_system,comment
col,COL,EnumAccessCode,AccessPolicy,access_policy_code,COL,https://nih-ncpi.github.io/ncpi-fhir-ig-2/CodeSystem/research-data-access-code/,Collaboration Required,LinkML gen-harmony
npu,NPU,EnumAccessCode,AccessPolicy,access_policy_code,NPU,https://nih-ncpi.github.io/ncpi-fhir-ig-2/CodeSystem/research-data-access-code/,Not-for-profit use only,LinkML gen-harmony
mds,MDS,EnumAccessCode,AccessPolicy,access_policy_code,MDS,https://nih-ncpi.github.io/ncpi-fhir-ig-2/CodeSystem/research-data-access-code/,Methods,LinkML gen-harmony
gso,GSO,EnumAccessCode,AccessPolicy,access_policy_code,GSO,https://nih-ncpi.github.io/ncpi-fhir-ig-2/CodeSystem/research-data-access-code/,Genetic Studies only,LinkML gen-harmony
gsr,GSR,EnumAccessCode,AccessPolicy,access_policy_code,GSR,https://nih-ncpi.github.io/ncpi-fhir-ig-2/CodeSystem/research-data-access-code/,Genomic Summary Results,LinkML gen-harmony
not_suspected,not-suspected,EnumConsanguinityAssertion,Family,consanguinity,428263003,http://snomed.info/id/,Not suspected,LinkML gen-harmony
suspected,suspected,EnumConsanguinityAssertion,Family,consanguinity,415684004,http://snomed.info/id/,Suspected,LinkML gen-harmony
known_present,known-present,EnumConsanguinityAssertion,Family,consanguinity,410515003,http://snomed.info/id/,Known Present,LinkML gen-harmony
unknown,unknown,EnumConsanguinityAssertion,Family,consanguinity,261665006,http://snomed.info/id/,Unknown,LinkML gen-harmony
available,Available,EnumAvailabilityStatus,Sample,availablity_status,available,https://nih-ncpi.github.io/ncpi-fhir-ig-2/CodeSystem/biospecimen-availability/,Biospecimen is Available,LinkML gen-harmony
available,Available,EnumAvailabilityStatus,Aliquot,availablity_status,available,https://nih-ncpi.github.io/ncpi-fhir-ig-2/CodeSystem/biospecimen-availability/,Biospecimen is Available,LinkML gen-harmony
unavailable,Unavailable,EnumAvailabilityStatus,Sample,availablity_status,unavailable,https://nih-ncpi.github.io/ncpi-fhir-ig-2/CodeSystem/biospecimen-availability/,Biospecimen is Unavailable,LinkML gen-harmony
unavailable,Unavailable,EnumAvailabilityStatus,Aliquot,availablity_status,unavailable,https://nih-ncpi.github.io/ncpi-fhir-ig-2/CodeSystem/biospecimen-availability/,Biospecimen is Unavailable,LinkML gen-harmony
