table_name,variable_name,enumeration_code,enumeration_display,enumeration_title,enumeration_meaning,enumeration_system,enumeration_group
File,data_type,edam:data_1525,Data on the crystallizability of a protein sequence.,Protein crystallizability,edam:data_1525,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1526,"Data on the stability, intrinsic disorder or globularity of a protein sequence.",Protein globularity,edam:data_1526,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1527,The titration curve of a protein.,Protein titration curve,edam:data_1527,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1528,The isoelectric point of one proteins.,Protein isoelectric point,edam:data_1528,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1529,The pKa value of a protein.,Protein pKa value,edam:data_1529,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1530,The hydrogen exchange rate of a protein.,Protein hydrogen exchange rate,edam:data_1530,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1531,The extinction coefficient of a protein.,Protein extinction coefficient,edam:data_1531,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1532,The optical density of a protein.,Protein optical density,edam:data_1532,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1534,An report on allergenicity / immunogenicity of peptides and proteins.,Peptide immunogenicity data,edam:data_1534,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1537,A human-readable collection of information about one or more specific protein 3D structure(s) or structural domains.,Protein structure report,edam:data_1537,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1539,Report on the quality of a protein three-dimensional model.,Protein structural quality report,edam:data_1539,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1542,Data on the solvent accessible or buried surface area of a protein structure.,Protein solvent accessibility,edam:data_1542,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1544,Phi/psi angle data or a Ramachandran plot of a protein structure.,Ramachandran plot,edam:data_1544,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1545,Data on the net charge distribution (dipole moment) of a protein structure.,Protein dipole moment,edam:data_1545,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1546,A matrix of distances between amino acid residues (for example the C-alpha atoms) in a protein structure.,Protein distance matrix,edam:data_1546,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1547,An amino acid residue contact map for a protein structure.,Protein contact map,edam:data_1547,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1548,Report on clusters of contacting residues in protein structures such as a key structural residue network.,Protein residue 3D cluster,edam:data_1548,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1549,Patterns of hydrogen bonding in protein structures.,Protein hydrogen bonds,edam:data_1549,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1566,An informative report on protein-ligand (small molecule) interaction(s).,Protein-ligand interaction report,edam:data_1566,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1583,Data on the dissociation characteristics of a double-stranded nucleic acid molecule (DNA or a DNA/RNA hybrid) during heating.,Nucleic acid melting profile,edam:data_1583,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1584,Enthalpy of hybridised or double stranded nucleic acid (DNA or RNA/DNA).,Nucleic acid enthalpy,edam:data_1584,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1585,Entropy of hybridised or double stranded nucleic acid (DNA or RNA/DNA).,Nucleic acid entropy,edam:data_1585,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1588,DNA base pair stacking energies data.,DNA base pair stacking energies data,edam:data_1588,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1589,DNA base pair twist angle data.,DNA base pair twist angle data,edam:data_1589,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1590,DNA base trimer roll angles data.,DNA base trimer roll angles data,edam:data_1590,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1595,Dotplot of RNA base pairing probability matrix.,Base pairing probability matrix dotplot,edam:data_1595,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1596,"A human-readable collection of information about RNA/DNA folding, minimum folding energies for DNA or RNA sequences, energy landscape of RNA mutants etc.",Nucleic acid folding report,edam:data_1596,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1597,Table of codon usage data calculated from one or more nucleic acid sequences.,Codon usage table,edam:data_1597,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1598,A genetic code for an organism.,Genetic code,edam:data_1598,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1600,A plot of the synonymous codon usage calculated for windows over a nucleotide sequence.,Codon usage bias plot,edam:data_1600,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1602,The differences in codon usage fractions between two codon usage tables.,Codon usage fraction difference,edam:data_1602,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1621,A human-readable collection of information about the influence of genotype on drug response.,Pharmacogenomic test report,edam:data_1621,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1622,A human-readable collection of information about a specific disease.,Disease report,edam:data_1622,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1636,"A graphical 2D tabular representation of expression data, typically derived from an omics experiment. A heat map is a table where rows and columns correspond to different features and contexts (for example, cells or samples) and the cell colour represents the level of expression of a gene that context.",Heat map,edam:data_1636,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1667,A simple floating point number defining the lower or upper limit of an expectation value (E-value).,E-value,edam:data_1667,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1668,The z-value is the number of standard deviations a data value is above or below a mean value.,Z-value,edam:data_1668,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1669,"The P-value is the probability of obtaining by random chance a result that is at least as extreme as an observed result, assuming a NULL hypothesis is true.",P-value,edam:data_1669,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1689,A username on a computer system or a website.,Username,edam:data_1689,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1690,"A password on a computer system, or a website.",Password,edam:data_1690,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1691,A valid email address of an end-user.,Email address,edam:data_1691,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1692,The name of a person.,Person name,edam:data_1692,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1696,A human-readable collection of information about a specific drug.,Drug report,edam:data_1696,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
